osmId,typeOfBuilding,geometry,lat,long,name,operator,brand,openingHours
3893307729,post_office,0101000020E6100000C7F9F609FBBD2040E2B8E7548D4D4A40,52.6058756,8.3710559,unknown,unknown,unknown,unknown
3932093426,post_office,0101000020E61000002183CB19406223401A8BA6B3932B4A40,52.340445,9.6918953,Post,unknown,unknown,unknown
3933083027,post_office,0101000020E6100000A37D079A2A1B23409A1947F652B14A40,53.3853443,9.5530594,unknown,unknown,DHL,unknown
3937004377,post_office,0101000020E61000004BA24DC411E622409305A79949B34A40,53.4006836,9.4493543,unknown,unknown,DHL,unknown
3937670114,post_office,0101000020E6100000DED49BACAC1C2540DCC7C0F000164A40,52.1719037,10.5560049,Hermes,Fasson Reinigung,unknown,unknown
3949941867,post_office,0101000020E6100000C251F2EA1C972340F285240E34304A40,52.3765886,9.7951425,PC-Nothilfe Sadraei,unknown,unknown,unknown
3964581650,post_office,0101000020E6100000888D68F118BC20406594C21781434A40,52.5273771,8.3673778,Bäckerei Macke,Macke Michael Bäckerei,unknown,Mo-Fr 06:15-12:30; Mo-Fr 14:30-18:00; Sa 06:15-13:00; Su 07:00-12:00
3973530463,post_office,0101000020E61000005E876A4AB28A25405A3222AC21124A40,52.1416526,10.7708915,Deutsche Post,Deutsche Post,unknown,Mo-Fr 08:00-18:00; Sa 08:00-12:00
3977193511,post_office,0101000020E610000031992A1895942340F13AD164B58D4A40,53.1070982,9.7902,Post im Famila,unknown,unknown,Mo-Sa 07:00-20:00
3978021544,post_office,0101000020E6100000CB051D63DDDE2540FBEB1516DC4C4A40,52.6004665,10.9352828,unknown,General Logistics Systems Germany,GLS,Mo-Fr 15:00-18:00; Sa \Nach Vereinbarung\
3978021545,post_office,0101000020E610000075CDE49B6DE225404CDB0940ED4C4A40,52.6009903,10.9422425,unknown,Hermes Logistik Gruppe Deutschland,Hermes,Mo
3987032846,post_office,0101000020E610000082B7F6F4C79223407608D27B198F4A40,53.1179652,9.7866818,Böhme-Brief-Dienst,unknown,unknown,unknown
3987465753,post_office,0101000020E61000008ED02A8E5E882240600322C495FC4940,51.9733205,9.2663464,Hermes Paketshop,Hermes,unknown,Mo-Fr 08:00-19:00; Sa 08:00-18:00; PH off
3992314657,post_office,0101000020E61000002AD2B30F68632540969E44DF380C4A40,52.0954856,10.6941533,DHL Paketshop,DHL,unknown,unknown
4012963490,post_office,0101000020E610000016FDA19927CF20404441DFCC9E284A40,52.3173462,8.404599,unknown,unknown,unknown,Mo-Fr 08:30 - 12:30
4031978195,post_office,0101000020E610000035E4E9A6DEDC234010898C58D5C74940,51.5611983,9.9313862,unknown,Deutsche Post,unknown,Mo-Fr 10:00-18:00; Sa 10:00-12:30; PH off
4033419937,post_office,0101000020E610000083A3891CC71C2440E519EA66354C4A40,52.5953797,10.0562066,GLS PaketShop,Anna Wintergoller,unknown,unknown
4041554781,post_office,0101000020E61000006A42493778D52440DFF87F7AD8CE4940,51.6159814,10.4169328,unknown,DHL,unknown,unknown
4076694838,post_office,0101000020E6100000F28CC756E1EC23406CD102B4ADC24940,51.520926,9.9626567,unknown,unknown,unknown,Mo-Sa 07:00-21:00; PH off
4083387235,post_office,0101000020E61000009B37F35080C522408A6BC6B315D44940,51.6569123,9.3857446,unknown,Deutsche Post,unknown,Mo-Fr 08:30-13:00
4102386492,post_office,0101000020E610000010CD3CB9A63C22409A620E828E7F4A40,52.9965365,9.1184595,Post,unknown,unknown,unknown
