ID	Name	Venue	Category	Start Time	No Participants	Reoccurring	Most Popular Entity	Entity Popularity	Additional Information
30	Forever Young	Capitol	party	2017-10-28 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
31	Forever Young	Capitol	party	2017-11-04 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
32	Forever Young	Capitol	party	2017-11-11 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
33	Forever Young	Capitol	party	2017-11-18 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
34	Forever Young	Capitol	party	2017-11-25 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
35	Forever Young	Capitol	party	2017-12-02 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
36	Forever Young	Capitol	party	2017-12-09 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
37	Forever Young	Capitol	party	2017-12-16 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
38	Forever Young	Capitol	party	2017-12-23 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
39	Forever Young	Capitol	party	2017-12-30 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
40	Forever Young	Capitol	party	2018-01-06 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
41	Forever Young	Capitol	party	2018-01-13 21:00:00.000000		true			http://www.capitol-hannover.de/termine/forever-young/
46	Fritz Kalkbrenner	Capitol	concert	2017-12-01 20:30:00.000000		false	Fritz Kalkbrenner	415000	https://www.facebook.com/events/1308422162540958/
47	Fünf Sterne Deluxe	Capitol	concert	2017-12-14 20:30:00.000000		false	Fünf Sterne Deluxe	398000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/Fuenf-sterne-Deluxe-im-Capitol
48	Gregor Meyle & Band	Capitol	concert	2017-11-03 20:00:00.000000		false	Gregor Meyle	310000	http://www.neuepresse.de/Nachrichten/Kultur/Gregor-Meyle-erobert-viele-Herzen-in-Hannover
49	Guano Apes	Capitol	concert	2017-10-20 20:00:00.000000	1600	false	Guano Apes	870000	http://www.haz.de/Nachrichten/Kultur/Uebersicht/1600-Gaeste-feiern-die-Guano-Apes
50	Iced Earth	Capitol	concert	2018-01-11 20:00:00.000000		false	Iced Earth	3180000	https://www.rockszene.de/news/3313-der-winterschlaf-ist-vorbei-iced-earth-gastierten-im-capitol.html
51	Kadavar	Capitol	concert	2017-11-08 20:00:00.000000	700	false	 Band Kadavar	414000	http://www.haz.de/Nachrichten/Kultur/Musik/Andere-Zeiten
52	Kärbholz	Capitol	concert	2017-10-27 20:00:00.000000		false	Kärbholz	124000	
53	Kasalla	Capitol	concert	2017-10-15 20:00:00.000000		false	Kasalla	385000	
55	KC Rebell & Summer Cem	Capitol	concert	2017-11-17 20:00:00.000000		false	KC Rebell & Summer Cem	595000	
56	Kollegah & Farid Bang	Capitol	concert	2018-01-15 20:00:00.000000		false	Kollegah & Farid Bang	1280000	
